ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0042110	T cell activation	47/225	451/18493	2.25918501334023e-30	6.2624608569791e-27	4.76093515442856e-27	CD1C/GRAP2/IL7R/PIK3CG/CARD11/CCR2/CD2/CCL21/VCAM1/CD5/LY9/CD27/CLEC4G/IL6/THEMIS/CLEC4D/JAML/PTPRC/CD28/PDCD1LG2/TNFSF8/NLRP3/SLAMF6/CD3G/NCKAP1L/BTLA/CD209/RIPOR2/ITK/TREML2/PRDM1/DOCK2/LAX1/CD8A/EOMES/CCL19/IL12B/TESPA1/PLA2G2D/LEP/CD3E/CR1/GPR18/SPN/SIT1/APBB1IP/CD40LG	47
BP	GO:0030098	lymphocyte differentiation	37/225	344/18493	2.03790392139883e-24	2.82453483505878e-21	2.14730718454761e-21	IL7R/CARD11/CD2/VCAM1/LY9/CD27/IL6/THEMIS/CLEC4D/FCRL3/PTPRC/CD28/IKZF1/TNFSF8/NLRP3/CD79A/SLAMF6/CD3G/NCKAP1L/ITK/PRDM1/DOCK2/CR2/CD8A/AICDA/EOMES/CCL19/IL12B/TESPA1/DOCK11/PLA2G2D/LEP/CD3E/CR1/GPR18/SPN/CD40LG	37
BP	GO:0030217	T cell differentiation	29/225	234/18493	5.16528474067346e-21	4.77272310038227e-18	3.62838598274676e-18	IL7R/CARD11/CD2/LY9/CD27/IL6/THEMIS/CLEC4D/PTPRC/CD28/TNFSF8/NLRP3/SLAMF6/CD3G/NCKAP1L/ITK/PRDM1/DOCK2/CD8A/EOMES/CCL19/IL12B/TESPA1/PLA2G2D/LEP/CD3E/CR1/GPR18/SPN	29
BP	GO:0050863	regulation of T cell activation	31/225	305/18493	7.91741465777317e-20	5.48676835783681e-17	4.1712274065426e-17	GRAP2/IL7R/CARD11/CCR2/CD2/CCL21/VCAM1/CD5/CD27/CLEC4G/IL6/PTPRC/CD28/PDCD1LG2/NLRP3/NCKAP1L/BTLA/CD209/RIPOR2/PRDM1/LAX1/CCL19/IL12B/TESPA1/PLA2G2D/LEP/CD3E/CR1/SPN/SIT1/CD40LG	31
BP	GO:0051249	regulation of lymphocyte activation	36/225	472/18493	9.49228601273588e-19	4.52206534257248e-16	3.43782745341768e-16	GRAP2/IL7R/CARD11/CCR2/CD2/CCL21/VCAM1/CD5/CD27/CLEC4G/IL6/FCRL3/PTPRC/MNDA/CD28/PDCD1LG2/TLR4/NLRP3/NCKAP1L/BTLA/BANK1/CD209/RIPOR2/PRDM1/LAX1/CCL19/IL12B/TESPA1/PLA2G2D/TNFRSF13B/LEP/CD3E/CR1/SPN/SIT1/CD40LG	36
BP	GO:0070661	leukocyte proliferation	29/225	283/18493	1.06451198168211e-18	4.52206534257248e-16	3.43782745341768e-16	IL7R/PIK3CG/MS4A1/CARD11/CCR2/VCAM1/CLEC4G/IL6/GAPT/FCRL3/PTPRC/MNDA/CD28/PDCD1LG2/TLR4/CD79A/NCKAP1L/CD209/DOCK2/CR2/IL33/CCL19/IL12B/PLA2G2D/TNFRSF13B/LEP/CD3E/SPN/CD40LG	29
BP	GO:0002768	immune response-regulating cell surface receptor signaling pathway	35/225	445/18493	1.14193569256881e-18	4.52206534257248e-16	3.43782745341768e-16	GRAP2/CARD11/TRAT1/WIPF1/CLEC4C/THEMIS/CLEC4D/UBASH3A/FCRL3/PTPRC/MNDA/CD28/FYB1/ICAM3/FCN1/NR4A3/CD79A/CD200R1/CD3G/NCKAP1L/BTLA/CD209/BLK/ITK/KLHL6/CR2/PRKCB/CLEC10A/CD226/LILRA4/TESPA1/PAX5/CD3E/CR1/FPR1	35
BP	GO:0046651	lymphocyte proliferation	28/225	264/18493	1.74759074949478e-18	6.05540194699942e-16	4.60352194801126e-16	IL7R/PIK3CG/MS4A1/CARD11/CCR2/VCAM1/CLEC4G/IL6/GAPT/FCRL3/PTPRC/MNDA/CD28/PDCD1LG2/TLR4/CD79A/NCKAP1L/CD209/DOCK2/CR2/CCL19/IL12B/PLA2G2D/TNFRSF13B/LEP/CD3E/SPN/CD40LG	28
BP	GO:0032943	mononuclear cell proliferation	28/225	266/18493	2.13877307964887e-18	6.58742108531851e-16	5.00798094205501e-16	IL7R/PIK3CG/MS4A1/CARD11/CCR2/VCAM1/CLEC4G/IL6/GAPT/FCRL3/PTPRC/MNDA/CD28/PDCD1LG2/TLR4/CD79A/NCKAP1L/CD209/DOCK2/CR2/CCL19/IL12B/PLA2G2D/TNFRSF13B/LEP/CD3E/SPN/CD40LG	28
BP	GO:0007159	leukocyte cell-cell adhesion	30/225	327/18493	5.88992926721392e-18	1.6326883928717e-15	1.24122509399603e-15	GRAP2/IL7R/CARD11/CCR2/CCL21/VCAM1/CD5/CD27/CLEC4G/IL6/PTPRC/CD28/PDCD1LG2/NLRP3/NR4A3/NCKAP1L/BTLA/CD209/RIPOR2/LAX1/SELP/CCL19/IL12B/TESPA1/SELPLG/PLA2G2D/LEP/CD3E/SPN/CD40LG	30
BP	GO:1903037	regulation of leukocyte cell-cell adhesion	28/225	293/18493	2.78017999108917e-17	7.00605357754471e-15	5.3262395618761e-15	GRAP2/IL7R/CARD11/CCR2/CCL21/VCAM1/CD5/CD27/CLEC4G/IL6/PTPRC/CD28/PDCD1LG2/NLRP3/NR4A3/NCKAP1L/BTLA/CD209/RIPOR2/LAX1/CCL19/IL12B/TESPA1/PLA2G2D/LEP/CD3E/SPN/CD40LG	28
BP	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	30/225	354/18493	5.3526127770566e-17	1.23645355150007e-14	9.39993928040992e-15	CD1C/IL7R/CCR2/LY9/CD27/CLEC4G/IL6/GAPT/TLR8/PTPRC/CD28/TLR4/NLRP3/SLAMF6/C7/KLHL6/CR2/C1S/CD8A/GZMM/CD226/AICDA/IL33/CCL19/IL12B/CD1E/CR1/SPN/FCER2/CD40LG	30
BP	GO:0050867	positive regulation of cell activation	31/225	384/18493	6.14971148219773e-17	1.30018359140566e-14	9.88443665980911e-15	GRAP2/IL7R/CARD11/CCR2/CD2/CCL21/VCAM1/CD5/CD27/IL6/CLEC4D/FCRL3/PTPRC/CD28/PDCD1LG2/TLR4/NLRP3/NR4A3/NCKAP1L/BTLA/PLEK/CD209/CD226/IL33/SELP/CCL19/IL12B/TESPA1/LEP/CD3E/CD40LG	31
BP	GO:0002429	immune response-activating cell surface receptor signaling pathway	32/225	414/18493	6.56658379497808e-17	1.30018359140566e-14	9.88443665980911e-15	GRAP2/CARD11/TRAT1/WIPF1/CLEC4C/THEMIS/CLEC4D/UBASH3A/FCRL3/PTPRC/MNDA/CD28/FYB1/ICAM3/FCN1/NR4A3/CD79A/CD3G/NCKAP1L/CD209/BLK/ITK/KLHL6/CR2/PRKCB/CLEC10A/CD226/TESPA1/PAX5/CD3E/CR1/FPR1	32
BP	GO:0002696	positive regulation of leukocyte activation	29/225	372/18493	1.68328750004942e-15	2.9925108253057e-13	2.27500822976457e-13	GRAP2/IL7R/CARD11/CCR2/CD2/CCL21/VCAM1/CD5/CD27/IL6/CLEC4D/FCRL3/PTPRC/CD28/PDCD1LG2/TLR4/NLRP3/NR4A3/NCKAP1L/BTLA/CD209/CD226/IL33/CCL19/IL12B/TESPA1/LEP/CD3E/CD40LG	29
BP	GO:1903039	positive regulation of leukocyte cell-cell adhesion	23/225	214/18493	1.72727897564543e-15	2.9925108253057e-13	2.27500822976457e-13	GRAP2/IL7R/CARD11/CCR2/CCL21/VCAM1/CD5/CD27/IL6/PTPRC/CD28/PDCD1LG2/NLRP3/NR4A3/NCKAP1L/BTLA/CD209/CCL19/IL12B/TESPA1/LEP/CD3E/CD40LG	23
BP	GO:0046631	alpha-beta T cell activation	19/225	134/18493	3.15132973840731e-15	5.13852119697944e-13	3.90647810296683e-13	CCR2/LY9/IL6/PTPRC/CD28/TNFSF8/NLRP3/SLAMF6/NCKAP1L/ITK/PRDM1/DOCK2/EOMES/CCL19/IL12B/PLA2G2D/CD3E/GPR18/SPN	19
BP	GO:0050900	leukocyte migration	32/225	478/18493	3.98082533081435e-15	6.13047100945409e-13	4.66059199549142e-13	PIK3CG/CCR2/IL16/CD2/CCL21/VCAM1/FCAMR/JCHAIN/IL6/CCL11/CNR2/JAML/GPR15/CD84/CCR5/CH25H/CD48/MMP9/CD200R1/NCKAP1L/RIPOR2/CXCR3/IL33/SELP/CCL19/P2RY12/SELPLG/LEP/GPR18/CCL23/SPN/PRTN3	32
BP	GO:0022407	regulation of cell-cell adhesion	29/225	388/18493	5.06338418969551e-15	7.38721103886103e-13	5.61600839211657e-13	GRAP2/IL7R/CARD11/CCR2/CCL21/VCAM1/CD5/CD27/CLEC4G/IL6/PTPRC/CD28/PDCD1LG2/NLRP3/NR4A3/NCKAP1L/BTLA/CD209/RIPOR2/LAX1/CCL19/IL12B/TESPA1/PLA2G2D/LEP/CD3E/FGG/SPN/CD40LG	29
BP	GO:0050870	positive regulation of T cell activation	22/225	202/18493	5.51784216566876e-15	7.6477292416169e-13	5.81406316614151e-13	GRAP2/IL7R/CARD11/CCR2/CCL21/VCAM1/CD5/CD27/IL6/PTPRC/CD28/PDCD1LG2/NLRP3/NCKAP1L/BTLA/CD209/CCL19/IL12B/TESPA1/LEP/CD3E/CD40LG	22
BP	GO:0022409	positive regulation of cell-cell adhesion	24/225	251/18493	5.82400065213413e-15	7.68768086081705e-13	5.84443574214162e-13	GRAP2/IL7R/CARD11/CCR2/CCL21/VCAM1/CD5/CD27/IL6/PTPRC/CD28/PDCD1LG2/NLRP3/NR4A3/NCKAP1L/BTLA/CD209/CCL19/IL12B/TESPA1/LEP/CD3E/FGG/CD40LG	24
BP	GO:0002449	lymphocyte mediated immunity	27/225	344/18493	1.4382087162795e-14	1.81214298251217e-12	1.37765255980457e-12	CD1C/IL7R/CD27/CLEC4G/IL6/GAPT/TLR8/CRTAM/PTPRC/CD28/NLRP3/SLAMF6/C7/SH2D1A/CR2/C1S/CD8A/GZMM/CD226/AICDA/CD96/IL12B/CD1E/LEP/CR1/FCER2/CD40LG	27
BP	GO:0002703	regulation of leukocyte mediated immunity	21/225	196/18493	3.2697101103693e-14	3.94071148954073e-12	2.99586253590816e-12	CD1C/IL7R/CCR2/CLEC4G/IL6/CRTAM/PTPRC/CD28/CD84/TLR4/NLRP3/SLAMF6/SH2D1A/CD226/CD96/DNASE1L3/IL12B/CD1E/LEP/CR1/FCER2	21
BP	GO:0045785	positive regulation of cell adhesion	28/225	397/18493	6.60337381739716e-14	7.62689675909372e-12	5.79822560632856e-12	ABI3BP/GRAP2/IL7R/CARD11/CCR2/CCL21/VCAM1/CD5/CD27/IL6/PTPRC/CD28/PDCD1LG2/NLRP3/NR4A3/NCKAP1L/BTLA/CD209/CCL19/IL12B/P2RY12/TESPA1/LEP/CD3E/CASS4/FGG/APBB1IP/CD40LG	28
BP	GO:0050670	regulation of lymphocyte proliferation	21/225	205/18493	8.02179094336231e-14	8.89456179800012e-12	6.76194756573109e-12	CARD11/CCR2/VCAM1/CLEC4G/IL6/FCRL3/PTPRC/MNDA/CD28/PDCD1LG2/TLR4/NCKAP1L/CD209/CCL19/IL12B/PLA2G2D/TNFRSF13B/LEP/CD3E/SPN/CD40LG	21
