gene	conMean	treatMean	logFC	pValue	fdr
KCNC1	0.351799096271715	0.0558609963585746	-2.65483856527696	1.22837715055659e-06	3.56252079338871e-06
RBM24	5.17582404583296	2.56166829472606	-1.01470489708569	0.000787407786412238	0.00147212863620907
NDST4	0.704519097216036	0.098369802752784	-2.84035139909146	0.00397220963973986	0.00658583683489099
PHGR1	3.62394500358575	1.48957704815145	-1.28265831273526	2.96396757109243e-07	9.45216487610574e-07
RP1	0.168729375167038	0.0713466914521158	-1.24179272890607	0.000299392492615343	0.000598157961848866
NXPH1	3.76961316191759	1.42708889360579	-1.40134127825144	0.00374256324523129	0.00622775578434021
LRP2	11.0432009273073	5.49298249553898	-1.0074968055961	0.00021588046661908	0.000442445399929753
BMPR1B	45.2804445864588	21.3637600024276	-1.0837225409598	4.59980838676331e-06	1.22508287871529e-05
HEPACAM2	2.64297020008463	1.12210750238976	-1.23594925992488	2.40394791497941e-07	7.7502622163069e-07
PVALB	23.8226952275367	6.14684190401114	-1.9544193598525	0.0173333841026142	0.0256351819138055
SCGN	3.51824330001559	1.05445056537639	-1.73836379369112	1.97741579002756e-06	5.55793956428726e-06
STC2	129.310130741425	58.2353965351893	-1.15086708565503	1.03896714068433e-10	5.1915268908717e-10
RPL3L	0.523499251469933	0.112835162530067	-2.21397075317788	0.0034428641719344	0.00576641975707338
FCRLB	5.03269220639198	1.31139184910913	-1.94023153397724	0.000308947880529577	0.000615585299979985
NEURL1	4.33489290828953	1.7593612469265	-1.30094461314212	2.73442323185855e-07	8.76965488464106e-07
SLC5A7	0.220885814498886	0.0565086061358575	-1.96675826175359	2.43923722613587e-05	5.8439886104962e-05
NELL1	1.00874027905568	0.193833192285078	-2.37966722445448	0.00412383106759969	0.00681800942577862
CADM2	0.44155464376392	0.200888905783964	-1.13619409440046	4.99977522284665e-13	3.18456589633818e-12
NPC1L1	0.523503066271715	0.260637525910913	-1.00615317303227	2.18443404154138e-08	8.13674310224369e-08
IGDCC3	0.883735850291759	0.437915454870824	-1.01296284462206	5.00845443288803e-06	1.32591648006771e-05
FAM57B	0.73316186285078	0.330625999398664	-1.14893156449808	1.05142483743627e-11	5.83844676737616e-11
COL2A1	17.7004112547283	6.26261044744989	-1.49894683352262	5.37003934625934e-08	1.89623219826277e-07
TMPRSS6	3.10425863938307	1.42460366632071	-1.12368815613754	3.60469591403403e-09	1.49491662267473e-08
SYT13	19.315448060118	7.11105217542762	-1.44162019732135	6.14004145708238e-07	1.8645919444185e-06
CPLX2	2.91001126980178	0.382950947273942	-2.92579322811108	0.0108868254628718	0.0167228176178846
MYT1	1.06115362852116	0.320434391848552	-1.72753263361321	1.68520342761971e-09	7.24754730719507e-09
SLC30A8	15.982722136657	7.95161998708241	-1.00719242899234	7.66965690181829e-05	0.000169647909007795
VSTM2A	6.83024012633408	2.69602489307127	-1.34110248195837	0.00775514746921897	0.0122071605632417
APLP1	6.48381841721604	2.92670550521158	-1.14756610367619	0.00310329148957157	0.00523805631415732
PRR4	2.37518401325167	0.439143120942094	-2.43527617844543	0.0282081781850002	0.0400853058418424
GCM1	0.37682039988196	0.18769329232294	-1.0054999772097	0.0160654388548826	0.0238925815765979
MS4A8	1.26408984619822	0.601369277924276	-1.07177593573548	3.77761627698296e-10	1.76401188648401e-09
ZNF703	88.1876810777283	42.5395488663697	-1.05177240649012	1.69515340226202e-15	1.32323168564632e-14
CGA	16.9571227362561	2.60699813554343	-2.70142993973679	0.00530921801023385	0.00860356524242738
MS4A18	0.289382076621381	0.137482765329621	-1.07372479333196	0.000244031634768762	0.000495395444877758
KCNH6	0.267581309140312	0.0715264318841871	-1.90342896641186	0.000614768312284552	0.00117122818912172
FAM234B	24.266790355902	10.1061813244989	-1.26374533317313	8.89902314966185e-18	8.06566790092266e-17
DKK4	0.235316443919822	0.114860827260579	-1.0347152820786	0.000372040353441487	0.000733842971217661
PRTN3	0.367936956844098	0.177097982006682	-1.05491081981972	5.96729809445738e-07	1.81525670813944e-06
CPB1	493.809476426991	148.225273818089	-1.73616306088038	1.20311617949199e-08	4.66224027733436e-08
PHF21B	0.518928765169265	0.208078527755011	-1.31840841257203	1.70550163309026e-06	4.84282898871256e-06
GRIA2	3.8572802957706	1.75702727882183	-1.13444739548151	1.36910296242202e-06	3.94150926245899e-06
SLC1A2	2.39395007570601	1.07459996340757	-1.15559337208419	3.96804494745899e-11	2.07375139537633e-10
SYP	2.3973931698441	1.02398292115813	-1.22727487572436	0.00495210626859798	0.0080646629706922
WDR17	0.545454335859688	0.246831517610245	-1.14393180041577	7.88978919832215e-05	0.000174108006359598
AFF3	15.642797039755	7.28626314285078	-1.10224749555377	2.58858434425737e-16	2.13263707848648e-15
WDR72	1.0708961965412	0.362433886668151	-1.5630288892212	0.00859820631092603	0.013448745161341
LETM2	1.16416736717149	0.581528374454343	-1.0013769912151	1.46491441248114e-09	6.34541607933932e-09
BSN	0.374631661349666	0.176047080792873	-1.0895115269444	1.46539790846275e-10	7.17755250274107e-10
ZDHHC22	0.354921441160356	0.0881633763697105	-2.00924835109297	0.000219493742714969	0.000449589663602854
PEX5L	0.838821942933185	0.295768708966592	-1.50389517201793	7.50755775098473e-09	2.97876434396334e-08
CACNA2D2	4.89376974835189	2.39752382291759	-1.02940107366981	5.59120779951201e-15	4.22889369774553e-14
CYP2A6	40.1726593123096	10.7243095131492	-1.90532920422684	4.52726503120464e-07	1.40504416495914e-06
ATRNL1	1.6782551325078	0.61073636074833	-1.45834040950808	1.02425341502345e-06	3.00758629102644e-06
CST9	14.1309708447572	4.75906024232071	-1.57011196502274	2.88778492111502e-08	1.05753140225791e-07
NRCAM	2.71951048790646	1.2185051896882	-1.15823459402716	0.00763995834471175	0.0120432966940918
ACSM1	4.05754213389755	1.84466388411581	-1.13724810891111	0.000383855667734623	0.000755776057456862
RGS22	1.63554327748552	0.809523347668151	-1.01462533915377	3.36936253063551e-07	1.06535531337e-06
TMEM150C	32.4041520697105	13.5110685084633	-1.26203690989033	0.0240219658944355	0.0346667532340648
NTSR2	0.165381589383073	0.0803640227305123	-1.04117695262922	0.0320107887310981	0.0450268301296779
ASCL1	4.70712050872829	0.94212361866147	-2.32085651106612	0.0061516672205183	0.00987806377313383
CCDC177	0.169067917679287	0.0825449905100223	-1.03435035133296	0.000241592412405724	0.000490655322246689
KCNJ3	17.5166532046704	7.19834094904009	-1.28299081255037	8.77011785444954e-07	2.60502385828107e-06
CSMD3	0.218955423937639	0.0246879074209354	-3.14876072643062	1.9577423330978e-05	4.76068184702498e-05
CDH7	0.223003914799555	0.0908933606815145	-1.2948222151425	6.46288607073485e-08	2.26233054548455e-07
CELF3	0.393788032596882	0.106976561955457	-1.88012452394659	0.000106320103180961	0.000230409173882497
NSG2	2.61142484426726	0.365833277383073	-2.83557896574301	8.29887224027722e-05	0.000182507981474778
RUNDC3A	1.82762225999332	0.508384266832962	-1.84597663094186	0.00648118884798594	0.0103565554167271
NOVA1	3.95207565909354	1.59810577028062	-1.30624767046285	9.07301973579947e-06	2.30348996205006e-05
PAH	0.462582818817372	0.163721983229399	-1.49846363466597	4.09965564667915e-05	9.48881124188761e-05
TMEM145	2.64757274140089	1.08602027902895	-1.28561927991286	8.62008291682522e-12	4.81694463270633e-11
INSYN2	4.96512489184187	1.73557756174165	-1.51641416786198	4.78320718915348e-08	1.70049518424059e-07
DNAJC12	30.3734098768374	14.826665697216	-1.03461468903146	3.53613035963994e-13	2.27695835879962e-12
SLC16A6	14.6296591212249	7.01793289621381	-1.05977809609678	4.95340524718099e-11	2.5649811329462e-10
KCNC2	2.28636661390423	0.820188845296214	-1.47902872708691	3.37047702139133e-05	7.91132081433959e-05
GDAP1L1	0.149625163601336	0.0500244610734967	-1.58064719982456	0.000121753363356479	0.000261288638899216
RLN2	2.76404922979955	1.0240903408686	-1.43244032210465	5.31967554654339e-08	1.87985831813662e-07
SLC27A2	12.0162260311804	4.87190251821826	-1.30242668423552	3.18648972652253e-07	1.01229294551686e-06
TRH	23.3081031485724	4.62381964673497	-2.33367456900938	3.42592634281352e-07	1.08178680426811e-06
ELOVL2	16.5220701416258	7.33873110826281	-1.17079191849917	6.81857552855307e-08	2.38034870305804e-07
POTEC	0.220139989717149	0.0961368423006682	-1.19525992025496	0.0335598103237528	0.0470463696596558
CHRNB2	1.13156549724722	0.368828401910913	-1.61729843207792	3.87221008624451e-05	9.00963562825156e-05
C8orf86	0.291087181966592	0.086911582298441	-1.74383095557932	2.41602299867524e-14	1.73181019108087e-13
KRT222	0.324378951062361	0.155984883973274	-1.05627397754997	0.00438779593557088	0.00721472594389804
FAM135B	0.354205690964365	0.111885597198218	-1.6625630587046	2.05419530396995e-07	6.69450539749819e-07
SMCO3	1.54878603457684	0.514875959576837	-1.588841034018	0.00505601269470146	0.00822344566480987
SEZ6L	2.5212391599265	0.614396063465479	-2.0368920983591	0.00206775840010474	0.00359781140223208
BRINP2	3.1346889078441	1.20494933400445	-1.37934978953784	1.2356666642333e-05	3.08610699781366e-05
DCDC1	0.45682952947216	0.211574804367483	-1.11048807690013	2.81135049733185e-10	1.33218390512829e-09
GDAP1	11.6637477556793	5.17743811492205	-1.17172111552164	3.77982123850496e-12	2.1992111952587e-11
CLSTN2	21.5420045993319	10.2834893104232	-1.06682263544357	2.41234677028342e-11	1.29082033888489e-10
UGT2B4	6.12323700358352	1.59414268963474	-1.9415137556936	3.93572661814544e-05	9.14837787240029e-05
PYY	1.41316791503118	0.537181626964365	-1.39545103262486	1.23728372849057e-09	5.40751579387661e-09
CACNB2	0.944802309933185	0.397714678730512	-1.24827868229445	0.0112840545462641	0.0172747326808104
RTL9	0.42479441466147	0.0787651723452116	-2.43113503898295	0.0251953713716124	0.0361863139888668
SLC8A2	0.538156026454343	0.192903668708241	-1.4801439296752	0.0133865003747013	0.0202394030122299
SYNPO2L	2.4984991395902	0.553893207111359	-2.1733819705915	3.88522492926672e-08	1.39892499454918e-07
RIMS4	9.1990573076637	4.49130133775056	-1.03435250457485	4.18248763234575e-09	1.71590337255609e-08
