ID	ImmuneScore
TCGA-3C-AALI-01A-11R-A41B-07	1135.882735
TCGA-3C-AALJ-01A-31R-A41B-07	1133.587468
TCGA-3C-AALK-01A-11R-A41B-07	584.9460172
TCGA-4H-AAAK-01A-12R-A41B-07	519.486686
TCGA-5L-AAT0-01A-12R-A41B-07	1289.857259
TCGA-5L-AAT1-01A-12R-A41B-07	2040.015643
TCGA-A1-A0SB-01A-11R-A144-07	-1070.487973
TCGA-A1-A0SD-01A-11R-A115-07	439.6222716
TCGA-A1-A0SE-01A-11R-A084-07	-48.4338268
TCGA-A1-A0SF-01A-11R-A144-07	917.7074768
TCGA-A1-A0SG-01A-11R-A144-07	578.6436561
TCGA-A1-A0SH-01A-11R-A084-07	391.6519304
TCGA-A1-A0SI-01A-11R-A144-07	1117.805359
TCGA-A1-A0SJ-01A-11R-A084-07	182.4298054
TCGA-A1-A0SK-01A-12R-A084-07	-1284.332902
TCGA-A1-A0SM-01A-11R-A084-07	461.0598677
TCGA-A1-A0SO-01A-22R-A084-07	-590.6225867
TCGA-A1-A0SP-01A-11R-A084-07	1063.612752
TCGA-A2-A04N-01A-11R-A115-07	213.4155736
TCGA-A2-A04P-01A-31R-A034-07	1275.417028
TCGA-A2-A04Q-01A-21R-A034-07	2753.793451
TCGA-A2-A04R-01A-41R-A109-07	-585.9026679
TCGA-A2-A04T-01A-21R-A034-07	1159.235519
TCGA-A2-A04U-01A-11R-A115-07	-243.2581378
TCGA-A2-A04V-01A-21R-A034-07	430.8980204
TCGA-A2-A04W-01A-31R-A115-07	292.6342126
TCGA-A2-A04X-01A-21R-A034-07	1708.853781
TCGA-A2-A04Y-01A-21R-A034-07	1324.677657
TCGA-A2-A0CK-01A-11R-A22K-07	711.8604156
TCGA-A2-A0CL-01A-11R-A115-07	2798.205845
TCGA-A2-A0CM-01A-31R-A034-07	1717.103923
TCGA-A2-A0CO-01A-13R-A22K-07	1915.696153
TCGA-A2-A0CP-01A-11R-A034-07	410.7599731
TCGA-A2-A0CQ-01A-21R-A034-07	747.1558863
TCGA-A2-A0CR-01A-11R-A22K-07	2734.918293
TCGA-A2-A0CS-01A-11R-A115-07	501.1824319
TCGA-A2-A0CT-01A-31R-A056-07	-59.44561593
TCGA-A2-A0CU-01A-12R-A034-07	-155.0162051
TCGA-A2-A0CV-01A-31R-A115-07	1010.240311
TCGA-A2-A0CW-01A-21R-A115-07	534.6966346
TCGA-A2-A0CX-01A-21R-A00Z-07	971.9167534
TCGA-A2-A0CY-01A-12R-A034-07	-486.3292406
TCGA-A2-A0CZ-01A-11R-A034-07	1176.696894
TCGA-A2-A0D0-01A-11R-A00Z-07	937.3007824
TCGA-A2-A0D1-01A-11R-A034-07	-373.8946693
TCGA-A2-A0D2-01A-21R-A034-07	1129.149805
TCGA-A2-A0D3-01A-11R-A115-07	463.0157765
TCGA-A2-A0D4-01A-11R-A00Z-07	-512.9245689
TCGA-A2-A0EM-01A-11R-A034-07	117.6234261
TCGA-A2-A0EN-01A-13R-A084-07	2140.396968
TCGA-A2-A0EO-01A-11R-A034-07	962.406583
TCGA-A2-A0EP-01A-52R-A22U-07	3070.828833
TCGA-A2-A0EQ-01A-11R-A034-07	2298.559259
TCGA-A2-A0ER-01A-21R-A034-07	162.2598
TCGA-A2-A0ES-01A-11R-A115-07	708.4591822
TCGA-A2-A0ET-01A-31R-A034-07	431.3298399
TCGA-A2-A0EU-01A-22R-A056-07	-52.96152269
TCGA-A2-A0EV-01A-11R-A034-07	1076.524109
TCGA-A2-A0EW-01A-21R-A115-07	976.5345187
