gene	conMean	treatMean	logFC	pValue	fdr
ADGRG3	0.10689339842539	0.275488841628062	1.36582112806111	1.08178791243713e-32	1.61650022344177e-31
SPIB	0.289361272797327	2.99415334043875	3.37120435431034	8.52241793070782e-69	2.9568811695215e-67
CD1D	0.529777856013363	1.28267540755011	1.27569668235948	7.94126764989667e-68	2.68274259531557e-66
SEPT1	1.44948452227171	3.45637647572383	1.25372043915645	5.72218985099326e-52	1.32031115826594e-50
CCDC88B	0.887768911224944	2.22088204142539	1.3228766755652	9.36636672952157e-60	2.59338165857988e-58
POU2F2	0.548959176481069	1.60502821759465	1.5478278893575	1.43342309633556e-91	9.6387464492164e-90
SULT1B1	0.100892206848552	0.272015383710468	1.43087350317842	8.47642068427263e-13	5.29626267622185e-12
ARRDC5	0.0714569391380846	0.248169142623608	1.79617771933387	1.7146749257051e-73	6.72581239607825e-72
CD1C	0.700551600964365	2.52556085777283	1.85004058126207	2.62441358508767e-49	5.72787391576862e-48
TRABD2A	0.118772363051225	0.380186669621381	1.67850877124454	8.72161266075765e-76	3.61166839831551e-74
APOC1	27.5452580400891	67.7322982138085	1.29803997051356	1.10283534231814e-56	2.85745648970173e-55
LILRB5	0.246490510447661	0.70444239077951	1.51494962206051	5.61885198632896e-54	1.36329568554899e-52
PSMB9	6.69388355567929	19.5999594966592	1.54993531324604	2.13670586860858e-77	9.17094941356284e-76
CCL13	0.555743625501114	3.49507578592428	2.65283233836545	1.57855556151291e-70	5.74504718662985e-69
KLRB1	0.765578004654788	2.85146862202673	1.89708387081141	3.321259050268e-85	1.78325091440435e-83
ITGAL	2.79695261247216	7.44177353006681	1.41179067559273	1.03441465304916e-71	3.87452766994886e-70
GPR65	0.820663038953229	2.14716940200445	1.38757413410388	1.16345062585417e-94	9.22982375712738e-93
GPSM3	8.12413125167038	18.3910570178174	1.17871894759075	5.41697293713419e-85	2.87567950546135e-83
VNN3	0.0785322450089087	0.198031406505568	1.33437220532484	8.89743166115008e-15	6.64765251254499e-14
CD80	0.251159986997773	0.672594701380846	1.42113077079245	1.28060526972447e-65	4.15710965834006e-64
ACSL5	3.96040603162584	8.28366594654788	1.06462102859019	7.85413345499537e-51	1.76887110873987e-49
MPEG1	4.31346316325167	13.3938058062361	1.63464741540174	1.09729831986228e-99	1.139334527557e-97
SLC26A9	0.132332846775056	0.36755092357461	1.47377294462701	1.80837745769145e-18	1.69900852162748e-17
P2RY13	0.954016356258352	2.42528387454343	1.34606771567311	2.47085951136434e-58	6.58320889810865e-57
ABI3BP	1.33896249839644	3.28900730995546	1.29653666033862	1.10312050555882e-37	1.86552870167618e-36
CD300E	0.329188376042316	0.921310347416481	1.48477382260416	1.6103058922364e-53	3.86063319257559e-52
HLA-A	236.594393184855	485.432599443207	1.03685511148442	2.50085009908181e-57	6.60084191572603e-56
CD300LF	0.758118356347439	2.07078133652561	1.44968021812546	1.45379630884565e-100	1.62929029184202e-98
ITGB7	0.422124098253898	1.34939335111359	1.67657186090598	2.3973463344103e-75	9.78408311797915e-74
CMKLR1	1.96620973075724	4.33988448953229	1.14223942575651	5.41905808580015e-69	1.89412176310851e-67
GRAP2	0.314597372982183	1.00330027817372	1.67317492658169	1.54347716054344e-81	7.38828507933353e-80
PSORS1C2	0.502216298048998	1.70674950347439	1.76487057898872	0.0147194012372208	0.0220861401414085
AIM2	0.328711371069042	2.22547462694877	2.75921978309567	3.01906363876011e-95	2.4786161420309e-93
SERPINB9	2.61866148634744	5.58818327037862	1.09354976128328	5.63283138961686e-77	2.39581964014397e-75
PTPN7	0.676301463407572	3.06018816792873	2.17788198489263	2.12932905524826e-123	2.73347778083279e-120
IL7R	1.68154377768374	8.06662420868597	2.262178709389	3.18786826124551e-86	1.75843311394718e-84
CD68	0.41156101636971	0.921401195768374	1.16272313560383	9.59460905909628e-52	2.19943952148537e-50
PIK3CG	0.523114450935412	1.60780509216036	1.61989399506409	6.91746382577136e-72	2.60484017823246e-70
BIN2	1.39808016525612	4.33395122271715	1.63223582989861	4.60807074231769e-119	3.09859842629848e-116
CDX1	0.159752746708241	0.348190025612472	1.12403413921789	7.3817050190987e-30	1.03205006509597e-28
EVI2A	2.81708768886414	7.13877476169265	1.34147201176549	2.9980896988108e-94	2.28843376415715e-92
MMP8	0.0785126171224944	0.173228313937639	1.14167833442069	1.24855248352908e-08	4.82639190252235e-08
SASH3	3.14170907394209	11.5416662516704	1.8772300219414	8.62948502505538e-130	6.09284790194035e-126
CD8B	0.809736495278396	3.02414508930958	1.90100295017272	1.94887123607596e-79	8.79233569476953e-78
BCL2A1	1.86786760285078	8.6885500674833	2.21772324392262	5.91730738489007e-83	2.92161879657457e-81
MS4A1	0.360130672445434	4.39595177758129	3.60958317571873	1.21617363316028e-63	3.74969167551448e-62
ADGRE2	0.426435276993318	0.972876189977728	1.18992942621238	8.58593920619488e-61	2.4345792676843e-59
GPBAR1	0.157891015634744	0.328616166191537	1.05747437422442	2.86097253679626e-51	6.47432583206731e-50
CLDN18	0.0488595713719376	0.13744678686637	1.49216006843183	0.00546037575004108	0.00883027553439419
IL7	0.287149552721604	0.641263969821826	1.15911603540529	1.16693148846623e-44	2.28547011770203e-43
HTR3A	0.103069864498886	0.429607655616926	2.05939712230176	9.91085406195212e-15	7.37361276126585e-14
CARD11	0.793224577461024	2.83468382873051	1.83738654652005	6.96818325886414e-111	1.7890493781531e-108
FAM92B	0.13114752642539	0.304645856621381	1.21594252173671	3.37882333508645e-21	3.57932215414522e-20
CXorf65	0.13489379518931	0.425578123318486	1.65760000246489	1.09674607667824e-51	2.50196306119118e-50
CCR2	0.598586880400891	2.65559886391982	2.14940467592466	6.52459549855023e-89	3.95424090279089e-87
ITGAD	0.105234760599109	0.284562816812918	1.43513583356507	1.26423539587677e-39	2.23162384607195e-38
RSAD2	5.94046975924276	12.4283774091314	1.0649890313719	2.13152619921732e-34	3.31855363386414e-33
TNFAIP8L2	2.3468883752784	6.07064925167038	1.37110159516135	5.00379842784602e-107	8.94413134172325e-105
CCL22	1.66629526469933	3.84411398997773	1.20600705068254	1.35992945841919e-55	3.44149890364469e-54
GZMB	0.687369198634744	5.86831214305122	3.09378850148352	2.946528953321e-89	1.8090406673846e-87
TRIM22	6.24715069777283	14.1955492605791	1.18416843449771	2.80700413083822e-69	9.88471454652531e-68
HAMP	0.321219654171492	0.660474035812918	1.03994167975348	1.27293520564591e-39	2.24408464905442e-38
IL16	0.967237487171492	2.60633574097996	1.4300808746345	9.30876844491813e-85	4.90481788099585e-83
MCOLN2	0.7876969122049	1.79254757757238	1.18629888582753	7.28770321989603e-57	1.90221177759985e-55
JSRP1	0.372174128396437	1.05948021939866	1.50930697733783	2.05351310446019e-29	2.83180259258617e-28
KLRK1	0.0552075795345212	0.186877525385301	1.75915481986275	3.20224454195795e-53	7.65125129898278e-52
VSIR	3.73627206636971	8.13531636525613	1.12259893788418	1.16437155698516e-78	5.17046879125391e-77
KLRG1	0.415752018708241	0.9697981844098	1.22196128420155	3.58736877574135e-52	8.35927961753195e-51
TRAT1	0.179733439162584	1.33021151838753	2.88772491809471	6.31560002262453e-99	6.23654460975391e-97
RGS18	0.328434400668151	0.938846533028953	1.51528410454975	9.62192337624305e-84	4.86993476687914e-82
