ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04060	Cytokine-cytokine receptor interaction	25/119	294/8016	6.94563199247806e-13	1.27799628661596e-10	1.11130111879649e-10	3575/729230/3603/6366/939/1233/3569/6356/2829/1234/944/1436/3604/3581/2833/3587/90865/6363/3593/50615/23495/3952/1439/6368/959	25
hsa04640	Hematopoietic cell lineage	15/119	99/8016	1.15964040984324e-11	1.06686917705578e-09	9.27712327874591e-10	911/3575/931/914/921/3569/1436/917/3581/1380/925/913/916/1378/2208	15
hsa04061	Viral protein interaction with cytokine and cytokine receptor	12/119	100/8016	2.28910945926926e-08	1.36324950412331e-06	1.18543435141157e-06	729230/6366/1233/3569/6356/2829/1234/1436/2833/3587/6363/6368	12
hsa04514	Cell adhesion molecules (CAMs)	14/119	147/8016	2.96358587852893e-08	1.36324950412331e-06	1.18543435141157e-06	51208/914/7412/5788/940/80380/3385/57863/925/10666/6403/6404/6693/959	14
hsa05340	Primary immunodeficiency	8/119	38/8016	6.2770213687275e-08	2.30994386369172e-06	2.0086468379928e-06	3575/5788/973/925/57379/23495/916/959	8
hsa05144	Malaria	8/119	50/8016	5.94013465488281e-07	1.82164129416406e-05	1.58403590796875e-05	3820/7412/3569/7099/2532/6403/1378/959	8
hsa04062	Chemokine signaling pathway	13/119	189/8016	4.04008080327089e-06	0.000106196409685978	9.23447040747632e-05	5294/729230/6366/1233/6356/2829/1234/3702/2833/1794/5579/6363/6368	13
hsa04660	T cell receptor signaling pathway	9/119	104/8016	2.17674493291108e-05	0.000500651334569548	0.000435348986582216	9402/84433/5788/940/917/3702/925/916/959	9
hsa05162	Measles	9/119	138/8016	0.000199185483539028	0.00407223655235346	0.00354107526291606	3569/940/7099/917/30835/51284/3593/916/6504	9
hsa04672	Intestinal immune network for IgA production	5/119	49/8016	0.00075010328332111	0.0128386592697505	0.0111640515389135	3569/940/57379/23495/959	5
hsa04064	NF-kappa B signaling pathway	7/119	102/8016	0.0007675285433003	0.0128386592697505	0.0111640515389135	84433/6366/7412/7099/5579/6363/959	7
hsa05133	Pertussis	6/119	76/8016	0.000884447332937687	0.0135615257717112	0.0117926311058358	3394/3569/7099/114548/716/3593	6
hsa04662	B cell receptor signaling pathway	6/119	82/8016	0.00131810912893503	0.0186563138249266	0.0162228815868927	10990/84433/973/1380/5579/23547	6
hsa05143	African trypanosomiasis	4/119	37/8016	0.0020890079436722	0.0274555329739774	0.0238743764991108	7412/3569/5579/3593	4
hsa04630	JAK-STAT signaling pathway	8/119	162/8016	0.00274899136232943	0.033720960711241	0.0293225745315139	3575/3569/3581/3587/3593/50615/3952/1439	8
hsa05146	Amoebiasis	6/119	102/8016	0.00398890519019849	0.0458724096872826	0.0398890519019849	911/3569/7099/5579/3593/913	6
