gene	conMean	treatMean	logFC	pValue	fdr
KCNC1	0.351313266817372	0.0563468258129176	-2.64035181237331	0.0260520059756208	0.0346942210581748
MAP7D2	0.699061502636971	0.339461578144766	-1.04217109514353	0.00729607379176535	0.0105831735559758
C1QL4	0.597819786962138	0.254517756576837	-1.23194433864915	0.0144628172661879	0.0200850245721223
ANTXRL	0.190539784986637	0.0627418569665924	-1.60259213173758	0.0288312519422453	0.0381556170185214
FAM72C	0.178104920532294	0.0887019569955457	-1.00568953496039	4.29119910722336e-11	1.45011091684665e-10
ONECUT2	0.382038245432071	0.171531113797327	-1.15524678347592	6.9799698803437e-06	1.46661561120764e-05
APOA1	0.444447905060134	0.215924924685969	-1.04148454036632	0.032919411583974	0.0431949821470993
C19orf57	2.097841687951	1.02065463652561	-1.03941103250835	7.03964757462661e-15	3.209975143225e-14
RPL3L	0.543175653253897	0.0931587607461025	-2.54365546196365	8.99592005328898e-10	2.74698653102121e-09
PGPEP1L	0.148804545971047	0.0670498209643653	-1.15011321639637	1.71358604964982e-06	3.84352305975872e-06
FCRLB	5.03549223396436	1.30859182153675	-1.94411765349182	8.70617650928126e-06	1.80858547246267e-05
NEURL1	4.23122122840089	1.86303292681514	-1.1834209462702	0.000209194700216515	0.000370592988848617
FBN3	0.494295028855234	0.242231139775056	-1.02898805617762	0.00298368264379135	0.00458697657096185
NRTN	2.02790976534521	0.817461735679287	-1.31077035242942	1.65787554292133e-06	3.72534386703499e-06
CELF4	0.513748889492205	0.11553126188196	-2.1527800835129	5.81505462848159e-10	1.7987672403476e-09
FAM57B	0.769544864282851	0.294242997966592	-1.38699735359577	9.82048090055325e-08	2.48786739197464e-07
CAMK2N2	1.1058441703118	0.47943929169265	-1.20572805022445	6.60154150388668e-07	1.54164808565881e-06
COL2A1	17.6723424280267	6.29067927415145	-1.49020556409403	0.000800701880208222	0.00132305570823732
DLGAP3	0.404269234514477	0.173154896227172	-1.22325323398028	0.000196002091522796	0.000348359723223511
TMEM151A	0.300562906120267	0.101988549561247	-1.55925978316079	1.80850642513741e-05	3.61994917066988e-05
ACTL8	3.85062540795323	1.76718226292428	-1.12364193972915	4.04112238519127e-05	7.78543268441239e-05
RASL10B	1.96714763710468	0.889406552828508	-1.1451902988032	0.000197204912595547	0.000350405636754221
SYT13	18.9612487637416	7.46525147180401	-1.34479121702397	0.000457690103791116	0.000781217886228436
CPLX2	3.06597577921158	0.226986437864143	-3.75566829384251	0.00820271063244702	0.0118085943616363
PRSS1	0.739077706055679	0.328532736848552	-1.16968892022778	0.0110330310732028	0.0156178428375473
MYT1	1.10210501727617	0.279483003093541	-1.97942924925656	6.46007292639846e-05	0.000121488072326847
SOHLH1	0.195874940084633	0.0716519127126949	-1.45085571124678	0.00402160558631597	0.00605697394003008
APLP1	7.22547485739421	2.18504906503341	-1.72542672883863	3.4818582744306e-10	1.09578742305763e-09
ASPHD1	3.32510774405345	1.35281260093541	-1.29743908619412	1.66427602195672e-06	3.7378680248021e-06
ENHO	7.26632199868597	2.82181912469933	-1.36459978270165	4.43344221603094e-10	1.38529746293999e-09
PPM1E	0.800932739799555	0.27377624247216	-1.54868383499681	3.43040346442262e-10	1.08034606086937e-09
VGF	1.03299593386192	0.325108040200445	-1.66784343472802	1.8658852385917e-14	8.26364131957611e-14
ROPN1B	1.98941572853452	0.647537852781737	-1.61930835265137	0.0301959710253811	0.0398489259512644
