gene	conMean	treatMean	logFC	pValue	fdr
CIDEA	0.764967247171492	2.23915031704454	1.54948149759095	3.59923190718373e-14	1.55641530272062e-13
SEMA3D	0.367466893463252	0.898446535545657	1.28981837714105	6.22804812121987e-67	3.40558711983317e-65
PLPP4	2.58809305260134	7.06293253287305	1.44837782644734	4.39629272566794e-57	1.51315039727875e-55
LCN6	0.067987396363029	0.164912928959911	1.27836528200623	7.11033394922004e-17	3.72434293879386e-16
SULT1B1	0.100389137211581	0.272518453347439	1.44075075571916	3.29910019499743e-25	2.73132464861784e-24
DMP1	0.0680420135812918	0.276947002594655	2.02511218353944	0.0220299431498321	0.0296972944537907
TMEM200A	1.1967467636971	2.45914952227171	1.03904155231373	7.23997084947311e-79	7.3269585589332e-77
CD1C	0.951610536287305	2.27450192244989	1.25710750345418	1.25264448989363e-25	1.05444518481983e-24
ZFPM2	0.489456682142539	1.31663288565702	1.4276000483355	1.38685528081719e-94	4.1793654362582e-92
BACH2	0.397591888342984	0.834357459910913	1.06937727989716	3.4062597840519e-57	1.17837471764102e-55
LILRB5	0.291894909957684	0.659037991269488	1.17491258058106	1.07329033646564e-33	1.27116945439393e-32
SVEP1	0.939656156859688	2.71429693452116	1.53037371403169	2.82091968258491e-73	2.11350783511237e-71
DBX2	0.0489962481870824	0.133354410601336	1.44452235538083	1.70742183385474e-35	2.1843724046136e-34
KLRB1	1.11944683405345	2.49759979262806	1.15775631081655	2.29925758248325e-32	2.56416382204403e-31
GPR65	0.988200567461024	1.97963187349666	1.00235638658538	5.70756987460279e-50	1.46038405791488e-48
PCDH10	0.735823207523385	1.48525626563029	1.01328079055855	4.75382481903076e-13	1.88774870778554e-12
VSTM4	1.35445903004454	3.21014371180401	1.24492113014207	1.42135607852359e-85	2.29464402153076e-83
MPEG1	5.46017364877506	12.2470953207127	1.165420882891	3.42580375663003e-53	9.99082252551825e-52
P2RY13	1.08895674525612	2.29034348554566	1.07261732772979	8.49976418806001e-41	1.43009059744766e-39
ABI3BP	1.18495228162584	3.44301752672606	1.53884456244161	5.39069187809689e-59	2.02501863043967e-57
GRAP2	0.434826222959911	0.883071428195991	1.0220911893061	4.78001000081454e-33	5.4887142778193e-32
CPXM1	7.85494549710468	21.3297658126949	1.44119495561034	1.29196867502108e-65	6.79084775269801e-64
SERPING1	51.2085227416481	110.211060489978	1.1058131701487	2.24045891009796e-89	4.40331351881716e-87
IL7R	2.78281683046771	6.965351155902	1.32365013639965	5.03146278815848e-37	7.00530460679848e-36
TLL1	0.378135970318486	0.982676488708241	1.37781144595613	2.51610565728864e-76	2.21564342977216e-74
FLRT2	0.223987912708241	0.609044613541203	1.44312703110154	7.60962614365976e-81	8.82001197727949e-79
PIK3CG	0.608085627772828	1.52283391532294	1.32441220925388	2.25715154496501e-56	7.44750172780304e-55
CNRIP1	1.44843686124722	3.35684021826281	1.21260707052589	2.3665148501805e-113	9.89753284178947e-110
EVI2A	3.06201410089087	6.89384834966592	1.17082863614963	1.46204231379822e-78	1.44720845382611e-76
CALHM5	0.636379923964365	1.6558686013363	1.37962796630396	6.29978384339334e-113	1.70862737400514e-109
PLN	1.39512520911136	3.09781962672606	1.15085853813093	1.3375347938876e-51	3.70169578365505e-50
ALPK2	0.152686086561247	0.345712851902004	1.17900563359405	6.73259060949134e-43	1.24387821873722e-41
NID2	3.44308501701559	8.30107192806236	1.26959584102497	1.2455747979134e-75	1.02995364844534e-73
GEM	7.16773830957684	16.3964206494432	1.19379103641835	1.91636486117942e-45	4.03537637926306e-44
MS4A1	1.35485671832517	3.40122573170156	1.32791446894099	2.64790437665924e-14	1.15646477461758e-13
COL5A2	40.0014896726058	119.850421002227	1.58310934410058	6.04109775130457e-94	1.70673597094669e-91
