Gene	Regulation
SULT1B1	up
CD1C	up
LILRB5	up
KLRB1	up
GPR65	up
MPEG1	up
P2RY13	up
ABI3BP	up
GRAP2	up
IL7R	up
PIK3CG	up
EVI2A	up
MS4A1	up
CLDN18	up
CARD11	up
CCR2	up
ITGAD	up
IL16	up
TRAT1	up
RGS18	up
CXorf21	up
CD2	up
CCL21	up
FLI1	up
WIPF1	up
VCAM1	up
FCAMR	up
SLC22A3	up
CD5	up
LY9	up
CD27	up
CCR4	up
CLEC4G	up
CLEC4C	up
FGL2	up
CD163	up
JCHAIN	up
IRF8	up
IL6	up
THEMIS	up
GAPT	up
KCNA3	up
CCL11	up
CNR2	up
TLR8	up
PPP1R16B	up
ZNF831	up
CLEC4D	up
PI16	up
SLC9A9	up
CRTAM	up
TFEC	up
FCRL2	up
UBASH3A	up
FCRLA	up
JAML	up
FAM129C	up
FCRL3	up
MEOX1	up
GPR15	up
XCR1	up
FABP4	up
ABCD2	up
GIMAP1	up
CHIT1	up
PTPRC	up
ERVFRD-1	up
MNDA	up
CD300LB	up
CD28	up
IKZF1	up
FYB1	up
CYBB	up
CD84	up
PDCD1LG2	up
CCR5	up
GIMAP7	up
TLR10	up
TNFSF8	up
TLR4	up
EVI2B	up
CH25H	up
AOAH	up
NLRP3	up
CD48	up
DPT	up
MMP9	up
GIMAP5	up
ICAM3	up
FCN1	up
NR4A3	up
DCSTAMP	up
CD79A	up
CD200R1	up
VMO1	up
AC119396.1	up
CSF1R	up
SLAMF6	up
GIMAP6	up
CD3G	up
C7	up
LGI2	up
TIMD4	up
PM20D1	up
NCKAP1L	up
TNFRSF9	up
BTLA	up
SH2D1A	up
EPYC	up
IL9R	up
WDFY4	up
BANK1	up
G0S2	up
ATP6V0D2	up
PLEK	up
TRARG1	up
CD209	up
GAB3	up
RIPOR2	up
SLCO2B1	up
CST7	up
XIRP1	up
SLC12A3	up
ROS1	up
BHLHE22	up
BLK	up
ITK	up
CXCR3	up
LOR	up
TREML2	up
SCARA5	up
KLHL6	up
PRDM1	up
DOCK2	up
FOLR2	up
CADM3	up
CR2	up
LAX1	up
B3GALT2	up
XPNPEP2	up
IL10RA	up
PRKCB	up
CHRDL1	up
PRDM8	up
CLEC9A	up
C1S	up
MS4A6A	up
FCRL6	up
PNOC	up
TLR7	up
SAMD3	up
RGS13	up
KRT1	up
CD8A	up
CLEC10A	up
NUGGC	up
ACKR1	up
SLFN12L	up
GZMM	up
CD226	up
PYHIN1	up
AICDA	up
CD96	up
MSR1	up
LILRA4	up
FCRL1	up
IL33	up
DNASE1L3	up
EOMES	up
SELP	up
CCL19	up
AMPD1	up
PTGDS	up
IL12B	up
SHISA3	up
P2RY12	up
TESPA1	up
IL21R	up
GZMK	up
CD52	up
HSD11B1	up
CA4	up
DOCK11	up
SELPLG	up
PLA2G2D	up
MS4A6E	up
MAP1LC3C	up
TNFRSF13B	up
CD69	up
PLD4	up
LYZ	up
CLEC17A	up
CD1E	up
FCRL5	up
C16orf54	up
PAX5	up
LEP	up
KRT2	up
CD3E	up
CR1	up
CSF2RB	up
DMBT1	up
CMA1	up
SCML4	up
CTSE	up
P2RY8	up
GPR18	up
FPR1	up
PARP15	up
CASS4	up
CCL23	up
FGG	up
TMEM273	up
SPN	up
SLAMF1	up
SIT1	up
APBB1IP	up
GPR174	up
FCER2	up
CD40LG	up
TCL1A	up
KCNC1	down
RPL3L	down
FCRLB	down
NEURL1	down
FAM57B	down
COL2A1	down
SYT13	down
CPLX2	down
MYT1	down
APLP1	down
KCNH6	down
PRTN3	down
SLC1A2	down
BSN	down
PEX5L	down
NTSR2	down
ASCL1	down
CSMD3	down
CELF3	down
RUNDC3A	down
PAH	down
TMEM145	down
SLC27A2	down
C8orf86	down
BRINP2	down
SLC8A2	down
