id	HR	HR.95L	HR.95H	pvalue
KLRB1	0.61477249232969	0.473885474337453	0.797545478374643	0.000248910018838185
IL7R	0.819870679028135	0.701420003872093	0.958324437026794	0.0126078629651539
IL16	0.739850669688121	0.54900108977529	0.99704540415759	0.0477706951444563
TRAT1	0.684910027276643	0.493756978341361	0.950066056868519	0.0234049720038675
CD2	0.850139008074668	0.745335049355727	0.969679788539287	0.0155786856633591
CD5	0.794344205651474	0.655136455565507	0.963131744069125	0.0191759054169892
LY9	0.582160352246322	0.345415384631624	0.981168444737924	0.0422199394035339
CD27	0.8142437094889	0.68848866223952	0.962968389756279	0.0163583142025495
CLEC4G	1.59803096626639	1.00019937611952	2.55319392324949	0.0499026078891949
JCHAIN	0.872298736790797	0.809690217947363	0.939748399252967	0.00032405069464372
PPP1R16B	0.769812349533334	0.610240002873082	0.971111449108464	0.0272932044809317
UBASH3A	0.654727772385564	0.460079328788502	0.931727267690442	0.0186328682214641
JAML	0.745565149337359	0.556272360114181	0.999271996531232	0.0494330471604184
MEOX1	0.799212576950599	0.657471011671135	0.971511643581806	0.0244410538532314
GIMAP7	0.813669150557148	0.682030946013335	0.970714731403767	0.0220177208097105
CD48	0.801667935561898	0.671233536705597	0.95744840471216	0.0146912785354151
ICAM3	0.68376012248808	0.471315313494218	0.991964172856542	0.045234806120943
CD79A	0.842851355544219	0.747185093288321	0.950766301314046	0.00541416523926432
SLAMF6	0.805197410417099	0.664646310448955	0.975470501452811	0.0268488455224996
CD3G	0.767183613254889	0.596775783033968	0.986250972609132	0.0386409319160202
SH2D1A	0.769373150800493	0.613501532105837	0.964846889853507	0.0232212821006005
CST7	0.800252109320411	0.679859340148334	0.941964610403148	0.00739111090992704
ITK	0.718927166013837	0.527322536834359	0.98015205861577	0.036912063496089
CXCR3	0.79603958971012	0.658072626360894	0.962931754037646	0.0188274737030464
CLEC9A	0.418870390573715	0.183521954456221	0.956029509489723	0.0387565758841748
C1S	0.854016742818216	0.746295088913541	0.977287145324267	0.0217940217267252
CD8A	0.80914339217289	0.679033708625016	0.964183398822405	0.0178965789777814
CLEC10A	0.815327656861553	0.667607353190746	0.995733772053612	0.0452971257655892
GZMM	0.756145169401974	0.605263982120508	0.944638263798262	0.0138357331567436
CD226	0.39682441611321	0.179243232594377	0.878524756245274	0.0226458810694296
CD96	0.786329007306058	0.623607429309014	0.991510489886324	0.0421500276796497
IL33	0.83574190582352	0.716241231462343	0.975180571109374	0.0226551705810137
CCL19	0.866958302742218	0.794520191563902	0.946000751993748	0.00134157101954244
IL12B	0.248296054355364	0.0809360268300255	0.761724203955742	0.0148570519139848
TESPA1	0.590041254877501	0.39983125189829	0.870739045045882	0.00788196596212021
GZMK	0.837396735535463	0.71672632456403	0.978383615408568	0.025402465179392
CD52	0.842707086913798	0.738918397213282	0.961073965694969	0.0107092994897925
HSD11B1	0.708522028166898	0.551800440395884	0.90975546166215	0.00690339340088568
PLA2G2D	0.777805266705446	0.646548366256423	0.935708857200627	0.00770740229017507
CD69	0.793156796977951	0.640463693639977	0.982253499830635	0.0336626118189225
CD1E	0.759806537001181	0.588982331125071	0.980175368872203	0.0345092687287732
C16orf54	0.778689947338035	0.609950920525135	0.994109548294918	0.0447098329939058
CD3E	0.83130853506573	0.721701499404516	0.957561929749823	0.0104342695833234
SCML4	0.468852650065001	0.232629498786535	0.944948119733894	0.0341478563012116
FGG	1.1951095035571	1.03950033469785	1.37401276153284	0.0122704652051965
SPN	0.768254926909794	0.597547635004794	0.987729844695039	0.0397575276286429
SIT1	0.796031451261735	0.647494235643564	0.978643571657506	0.0304005094189182
CD40LG	0.66279654646853	0.483493651712278	0.908593650516084	0.0106009262000803
CPLX2	1.19983619952476	1.05186354522492	1.368625153163	0.0066697607250977
PEX5L	1.33037738794334	1.03425440389911	1.71128494853727	0.0262733205286414
ASCL1	1.13582329896328	1.00993978800258	1.27739750606255	0.0335872180215024
SLC27A2	0.854068476168078	0.749935563482696	0.972660849148934	0.0174158690802148
